ligne_adm,nb_validations
A00001,22710
A00002,131768
A00004,20201
A00005,4895
A00007,3709
A00008,1696
A00009,543
A00012,2572
A00013,344
A00014,3943
A00015,713
A00017,630
A00018,933
A00019,2752
A00022,1179
A00023,3798
A00024,2648
A00025,10002
A00028,9300
A00029,95624
A00030,20425
A00031,29202
A00032,26959
A00036,34093
A00038,578
A00039,992
A00041,16842
A00042,15446
A00044,20968
A00046,25779
A00047,39703
A00048,6138
A00050,2047
A00053,850
A00056,339
A00057,1368
A00058,4700
A00060,7241
A00062,608
A00064,56670
A00065,7693
A00066,12314
A00067,13468
A00068,3754
A00069,7840
A00072,21461
A00076,2693
A00077,72168
A00078,39802
A00080,104883
A00081,103
A00082,5160
A00084,2493
A00085,6201
A00088,1060
A00090,2825
A00091,112
A00092,72
A00093,12101
A00094,265
A00097,15455
A00098,430
A00099,2093
A00100,2531
A00101,587
A00102,740
A00103,22158
A00104,2400
A00105,9246
A00106,15283
A00107,1840
A00108,30
A00109,2526
A00110,742
A00112,687
A00113,732
A00114,573
A00115,92
A00116,1024
A00117,664
A00118,2177
A00119,10737
A00120,1732
A00121,841
A00122,1269
A00123,41815
A00129,269
A00130,827
A00131,2
A00133,9
A00135,80752
A00136,22241
A00137,5272
A00138,44923
A00139,9442
A00140,16386
A00141,461
A00142,38063
A00143,40229
A00144,10403
A00145,45635
A00146,56572
A00147,8924
A00148,3253
A00149,975
A00150,2693
A00151,2991
A00153,2265
A00155,11961
A00156,9689
A00157,409
A00158,993
A00160,4259
A00161,496
A00162,2401
A00163,2117
A00164,2545
A00165,190
A00166,2765
A00167,24956
A00168,22964
A00169,12193
A00171,195
A00174,39902
A00175,7220
A00176,155760
A00177,626
A00178,1561
A00179,187929
A00180,22594
A00181,3044
A00183,5049
A00184,15447
A00185,59077
A00186,48714
A00189,46862
A00190,58217
A00192,80387
A00193,223
A00194,171
A00195,36
A00196,802
A00198,6624
A00199,48482
A00200,19434
A00201,2043
A00203,5267
A00204,231
A00205,26852
A00206,16521
A00207,16047
A00208,15812
A00210,10448
A00211,34010
A00212,3020
A00213,4031
A00214,9796
A00215,3550
A00216,4898
A00217,496
A00218,650
A00219,2180
A00220,935
A00221,1797
A00224,68042
A00225,26748
A00226,6131
A00227,16632
A00229,2320
A00230,3404
A00231,5736
A00232,1346
A00233,4485
A00239,1538
A00240,5152
A00241,11602
A00242,17824
A00243,110718
A00247,29887
A00249,315
A00252,23232
A00253,8924
A00255,13908
A00256,18021
A00257,23727
A00259,6918
A00262,72
A00263,9003
A00264,82978
A00268,18676
A00269,976
A00270,18755
A00271,4417
A00275,10756
A00276,21865
A00278,45876
A00279,269
A00280,98687
A00281,31845
A00282,70838
A00283,111174
A00284,9862
A00285,10917
A00286,73644
A00287,32194
A00288,81666
A00289,2018
A00290,77479
A00291,165932
A00292,21315
A00294,39296
A00295,122367
A00296,7331
A00297,2891
A00299,1641
A00303,315
A00304,41682
A00308,28316
A00309,71072
A00311,13214
A00312,49170
A00313,1872
A00314,64326
A00315,1862
A00316,26333
A00318,26209
A00319,32007
A00321,9069
A00322,617
A00323,541
A00324,8194
A00325,13556
A00327,825
A00329,5998
A00331,42918
A00332,183
A00333,2136
A00337,50184
A00338,14479
A00339,28910
A00343,199
A00346,59952
A00347,4427
A00348,45957
A00349,8875
A00351,1978
A00352,14705
A00353,4400
A00357,462
A00358,3540
A00359,8996
A00360,11136
A00361,37978
A00362,22610
A00363,6007
A00364,940
A00365,15969
A00366,4632
A00367,989
A00368,745
A00370,1122
A00372,29933
A00373,407
A00374,2175
A00375,1727
A00376,3621
A00377,1997
A00378,11166
A00379,19569
A00381,75
A00388,23856
A00396,371
A00398,508
A00404,634
A00407,6505
A00418,7306
A00422,2661
A00424,369
A00425,374
A00426,2669
A00428,17713
A00429,23317
A00430,330
A00431,17051
A00432,1577
A00434,11809
A00435,1741
A00436,5983
A00437,475
A00438,208
A00440,534
A00441,487
A00442,197
A00443,1844
A00444,269
A00445,249
A00446,820
A00447,524
A00448,276
A00449,1456
A00450,9214
A00451,2394
A00452,23901
A00453,42855
A00454,4936
A00456,43542
A00457,691
A00458,818
A00459,4026
A00460,3788
A00461,27887
A00463,41990
A00464,79154
A00465,21616
A00466,35326
A00467,9277
A00468,21506
A00469,42129
A00470,16537
A00472,37112
A00478,62078
A00481,1408
A00483,165467
A00484,243663
A00485,58449
A00486,29725
A00487,28597
A00488,24873
A00489,21359
A00490,28594
A00491,94748
A00492,92202
A00495,10881
A00498,4882
A00499,13646
A00500,24895
A00502,46548
A00504,816
A00505,2731
A00506,53385
A00508,3507
A00515,2288
A00517,731
A00519,11589
A00520,69892
A00521,21726
A00523,576
A00524,11746
A00525,3471
A00527,6678
A00528,7833
A00529,20208
A00531,9748
A00532,356
A00533,11582
A00534,42307
A00535,14083
A00536,55043
A00537,30658
A00538,14470
A00539,18503
A00540,147473
A00541,2980
A00542,68536
A00543,67260
A00544,20494
A00546,66079
A00547,2558
A00548,19998
A00549,572
A00550,15615
A00551,20532
A00552,1562
A00558,502
A00560,610
A00561,39001
A00563,11223
A00564,30652
A00566,1313
A00567,27509
A00568,216
A00569,27732
A00570,31577
A00571,20688
A00572,25628
A00573,100487
A00574,6784
A00575,511
A00576,4402
A00578,8001
A00579,26116
A00580,26863
A00581,3085
A00582,2438
A00583,5513
A00584,15531
A00585,2194
A00586,644
A00587,20047
A00588,25059
A00589,1144
A00590,9601
A00591,13696
A00592,991
A00593,75495
A00594,408
A00595,61682
A00596,12935
A00597,223066
A00598,237414
A00599,120039
A00600,59217
A00601,67132
A00602,55371
A00603,19343
A00604,10476
A00605,17974
A00606,14400
A00607,1934
A00608,1050
A00609,3554
A00610,1895
A00611,1510
A00612,596
A00613,557
A00614,801
A00615,1178
A00617,717
A00625,360
A00627,490
A00628,596
A00630,405
A00631,2891
A00632,17324
A00634,2572
A00635,893
A00636,3489
A00637,237
A00638,1657
A00639,793
A00640,10
A00641,2824
A00642,163
A00644,5758
A00646,2269
A00647,1095
A00648,4007
A00649,379
A00650,175
A00651,3396
A00653,1216
A00654,969
A00655,13924
A00656,57879
A00657,50820
A00658,518
A00659,10702
A00660,21315
A00661,20702
A00662,27968
A00663,7214
A00664,19422
