id_line,name_line,id_groupoflines,air_conditioning,route_id,temperature,stop_id,nb_validations,temp_score,stops_score,validations_score,ac_score,priority_score,rank
C01077,27,A00931,false,C01077,24.5855,67,239238.0,0.8036212,0.717391304347826,0.2210998742789528,1.0,68.9839593231723,1
C01118,86,A00972,false,C01118,24.521065,78,179510.0,0.64564747,0.8369565217391305,0.16588614849874278,1.0,65.25570902680211,2
C01075,24,A00929,false,C01075,24.578684,52,153083.0,0.7869087,0.5543478260869565,0.14145651530838632,1.0,63.230630883349704,3
C01098,62,A00952,false,C01098,24.45475,34,649374.0,0.48306772,0.358695652173913,0.6002375758023961,1.0,61.671884370415306,4
C01107,72,A00961,false,C01107,24.564844,38,236870.0,0.7529787,0.40217391304347827,0.21891084898683627,1.0,61.10561115317352,5
C01105,69,A00959,false,C01105,24.541616,60,89211.0,0.69603276,0.6413043478260869,0.08241199526697233,1.0,60.7673706080897,6
C02246,71,A02315,false,C02246,24.478416,72,164676.0,0.5410892,0.7717391304347826,0.15217331016121877,1.0,60.47179067667571,7
C01136,107,A00991,false,C01136,24.552563,58,43383.0,0.7228691,0.6195652173913043,0.040047700044372136,1.0,60.07857098662308,8
C01084,39,A00938,false,C01084,24.527788,56,96480.0,0.66213083,0.5978260869565217,0.08913160035497708,1.0,59.0487376222381,9
C01087,46,A00941,false,C01087,24.497894,60,132835.0,0.5888418,0.6413043478260869,0.1227388699896465,1.0,58.55981377599557,10
C01276,306,A01136,false,C01276,24.531366,43,166061.0,0.67090327,0.45652173913043476,0.15345363111965685,1.0,58.09387382291015,11
C01115,83,A00969,false,C01115,24.500805,56,135581.0,0.5959776,0.5978260869565217,0.12527732583937287,1.0,57.96778301679048,12
C01288,325,A01146,false,C01288,24.47763,59,176767.0,0.5391626,0.6304347826086957,0.16335046590741015,1.0,57.86733547988619,13
C01231,217,A01088,false,C01231,24.485287,56,172528.0,0.5579326,0.5978260869565217,0.15943185179707145,1.0,57.68029768455466,14
C01110,75,A00964,false,C01110,24.544962,46,75354.0,0.7042347,0.4891304347826087,0.0696023147463393,1.0,57.64970873864995,15
C01280,317,A01139,false,C01280,24.525515,50,94314.0,0.65655684,0.532608695652174,0.08712930779470493,1.0,57.5271131413431,16
C01229,215,A01213,false,C01229,24.52451,50,44324.0,0.65409255,0.532608695652174,0.040917578760538385,1.0,56.297890784457906,17
C01141,112,A00996,false,C01141,24.48622,59,78809.0,0.5602192,0.6304347826086957,0.07279618399645023,1.0,56.23517739813849,18
C01094,57,A00948,false,C01094,24.468794,53,139681.0,0.5174981,0.5652173913043478,0.12906744564413547,1.0,55.05597714012202,19
C01103,67,A00957,false,C01103,24.514807,42,89141.0,0.63030505,0.44565217391304346,0.082347285904452,1.0,54.880877478003065,20
C01114,82,A00968,false,C01114,24.412245,69,122950.0,0.37886015,0.7391304347826086,0.11360098358231031,1.0,53.98843810646275,21
C01086,43,A00940,false,C01086,24.452839,49,174453.0,0.47838226,0.5217391304347826,0.16121135926638072,1.0,53.81653437857462,22
C01082,32,A00936,false,C01082,24.512005,40,70396.0,0.62343585,0.42391304347826086,0.06501904304097027,1.0,53.806813188990056,23
C01122,91,A00976,partial,C01122,24.540438,57,348864.0,0.69314295,0.6086956521739131,0.3224402825025884,0.5,53.52920892011082,24
C01106,70,A00960,false,C01106,24.489964,37,155923.0,0.56939846,0.391304347826087,0.14408186658778288,1.0,53.51008869648028,25
C01193,172,A01051,false,C01193,24.48412,26,253894.0,0.5550708,0.2717391304347826,0.23464816595178228,1.0,52.95311187765317,26
C01146,117,A01001,false,C01146,24.422142,62,107041.0,0.4031246,0.6630434782608695,0.09889439432036681,1.0,52.8269678897278,27
C01079,29,A00933,partial,C01079,24.58247,66,95478.0,0.7961908,0.7065217391304348,0.08820533205147167,0.5,52.7212935224903,28
C02251,77,A02317,false,C02251,24.50736,39,38542.0,0.61204946,0.41304347826086957,0.03557258541635853,1.0,52.511669205051405,29
C01096,60,A00950,false,C01096,24.341639,53,425953.0,0.20575912,0.5652173913043478,0.3937028546073066,1.0,52.31969317832444,30
C01201,180,A01059,false,C01201,24.46303,26,286831.0,0.5033668,0.2717391304347826,0.2650957698565301,1.0,52.163181992075614,31
C01073,21,A00927,partial,C01073,24.507462,71,237151.0,0.6122973,0.7608695652173914,0.2191706108563822,0.5,51.56557576950204,32
C01121,89,A00975,partial,C01121,24.566849,55,175889.0,0.7578933,0.5869565217391305,0.1625388256175122,0.5,51.039402282286,33
C01219,201,A01077,false,C01219,24.477686,36,61783.0,0.5392982,0.3804347826086957,0.05705701819257506,1.0,50.21406730402121,34
C01294,341,A01151,false,C01294,24.37359,61,131672.0,0.28409368,0.6521739130434783,0.12166377015234432,1.0,49.60788330164069,35
C01126,95,A00980,partial,C01126,24.482439,72,218329.0,0.5509511,0.7717391304347826,0.20177118769412808,0.5,49.50759719027005,36
C01099,63,A00953,partial,C01099,24.550644,50,164968.0,0.7181649,0.532608695652174,0.15244324064487502,0.5,48.50820314941834,37
C01097,61,A00951,partial,C01097,24.587034,39,150442.0,0.8073808,0.41304347826086957,0.13901512350244047,0.5,48.4576724112127,38
C01203,182,A01061,false,C01203,24.386982,54,102319.0,0.31692478,0.5760869565217391,0.09452928560863777,1.0,48.392715284913876,39
C01104,68,A00958,partial,C01104,24.560884,47,127614.0,0.74327105,0.5,0.11791247596509392,0.5,47.74594378227172,40
C01090,52,A00944,false,C01090,24.442335,27,143966.0,0.4526308,0.2826086956521739,0.1330285830498447,1.0,47.556813025994614,41
C01137,108,A00992,false,C01137,24.456026,28,71931.0,0.48619607,0.29347826086956524,0.06643802691909481,1.0,47.116398315676896,42
C01085,42,A00939,false,C01085,24.408777,33,156702.0,0.37035894,0.34782608695652173,0.14480198935068778,1.0,46.68733994008551,43
C01287,323,A01145,false,C01287,24.415022,22,232653.0,0.3856686,0.22826086956521738,0.21501257210471825,1.0,46.510590456949494,44
C01072,20,A00926,partial,C01072,24.490404,65,116907.0,0.5704787,0.6956521739130435,0.10801471675787605,0.5,46.22777202772001,45
C01138,109,A00993,false,C01138,24.493076,14,43453.0,0.5770299,0.14130434782608695,0.04011240940689247,1.0,46.139793707540306,46
C01095,58,A00949,partial,C01095,24.596401,30,101449.0,0.8303453,0.31521739130434784,0.09372504067445644,0.5,46.05783292755454,47
C01139,110,A00994,false,C01139,24.410526,35,92681.0,0.37464696,0.3695652173913043,0.08561973080905191,1.0,45.771207064768696,48
C01124,93,A00978,false,C01124,24.34369,55,105349.0,0.21079063,0.5869565217391305,0.0973302765863038,1.0,45.4961063740984,49
C01071,TVM,A00924,true,C01071,24.441826,32,1081821.0,0.45138225,0.33695652173913043,1.0,0.0,45.28059792259465,50
C01093,56,A00947,partial,C01093,24.47543,66,114108.0,0.5337663,0.7065217391304348,0.10542726667652715,0.5,45.27910692422281,51
C01194,173,A01052,false,C01194,24.409426,12,281399.0,0.37194884,0.11956521739130435,0.26007432332495195,1.0,45.051628025003154,52
C01132,103,A00987,partial,C01132,24.428482,55,355825.0,0.41866806,0.5869565217391305,0.3288751663955036,0.5,45.02105233358469,53
C01080,30,A00934,false,C01080,24.398468,31,130220.0,0.34508446,0.32608695652173914,0.12032151308977962,1.0,44.88231101338911,54
C01092,54,A00946,partial,C01092,24.400288,75,251303.0,0.34954548,0.8043478260869565,0.23225299511906522,0.5,44.879646509397844,55
C01109,74,A00963,partial,C01109,24.484238,56,139394.0,0.55536073,0.5978260869565217,0.1288021372578021,0.5,44.337398098527295,56
C01185,163,A01042,false,C01185,24.343147,45,142469.0,0.20945795,0.4782608695652174,0.13164472711137407,1.0,44.14007403320575,57
C01088,47,A00942,partial,C01088,24.491873,40,248118.0,0.5740793,0.42391304347826086,0.22930871912438988,0.5,43.933357995681405,58
C01149,120,A01004,false,C01149,24.342531,44,143287.0,0.20794755,0.4673913043478261,0.13240090223339743,1.0,43.896275283421225,59
C01142,113,A00997,false,C01142,24.414022,7,247453.0,0.3832183,0.06521739130434782,0.22869398018044668,1.0,43.518246430281884,60
C01143,114,A00998,false,C01143,24.384064,22,191751.0,0.30977032,0.22826086956521738,0.1772019671646206,1.0,43.288376494021016,61
C01135,106,A00990,false,C01135,24.371864,32,113525.0,0.27986178,0.33695652173913043,0.1048883301286792,1.0,42.75719232664857,62
C01145,116,A01000,false,C01145,24.36344,39,69288.0,0.2592073,0.41304347826086957,0.06399478627421978,1.0,42.636958619856166,63
C01224,210,A01082,false,C01224,24.335556,50,47991.0,0.19084693,0.532608695652174,0.044307424937139475,1.0,42.485267881932856,64
C01117,85,A00971,partial,C01117,24.49346,44,100637.0,0.5779698,0.4673913043478261,0.09297441206922052,0.5,41.5112803718604,65
C01125,94,A00979,partial,C01125,24.425377,69,75269.0,0.4110553,0.7391304347826086,0.06952373909185032,0.5,41.35236151976736,66
C01120,88,A00974,false,C01120,24.333277,31,157674.0,0.18525897,0.32608695652173914,0.14570052507025588,1.0,40.722021421634196,67
C01281,318,A01140,false,C01281,24.364573,21,151381.0,0.2619849,0.21739130434782608,0.13988315337967755,1.0,40.704452357685796,68
C01329,La Traverse de Charonne,A01200,false,C01329,24.405943,22,8202.0,0.3634102,0.22826086956521738,0.00752569886111522,1.0,40.6556663003246,69
C01140,111,A00995,true,C01140,24.486574,93,150031.0,0.561089,1.0,0.13863518710249964,0.0,40.29855024698235,70
C01299,351,A01156,false,C01299,24.405943,15,53978.0,0.3634102,0.15217391304347827,0.04984192427155746,1.0,40.191832805150874,71
C01112,80,A00966,partial,C01112,24.376091,60,252403.0,0.29022408,0.6413043478260869,0.2332698565300991,0.5,39.86455577830731,72
C01130,101,A00985,false,C01130,24.414022,13,14130.0,0.3832183,0.13043478260869565,0.013005657447123207,1.0,39.430386188035754,73
C01354,TUC,A01222,false,C01354,24.371702,28,61.0,0.2794643,0.29347826086956524,0.0,1.0,39.253494946852975,74
C01332,La Traverse Batignolles-Bichat,A01718,false,C01332,24.383165,23,1254.0,0.30756786,0.2391304347826087,0.0011028324212394617,1.0,39.03721544587661,75
C01127,96,A00981,true,C01127,24.566837,49,251387.0,0.75786525,0.5217391304347826,0.23233064635408962,0.0,38.97900656888991,76
C01083,38,A00937,true,C01083,24.507875,58,346823.0,0.613312,0.6195652173913043,0.32055354237538825,0.0,38.804503683158366,77
C01187,165,A01044,false,C01187,24.332346,33,51609.0,0.182977,0.34782608695652173,0.047651974559976336,1.0,38.637131352816084,78
C01108,73,A00962,false,C01108,24.372688,21,29163.0,0.28188187,0.21739130434782608,0.026902455258097913,1.0,38.47684412963333,79
C02243,25,A02313,partial,C02243,24.527975,23,57026.0,0.6625891,0.2391304347826087,0.05265955479958586,0.5,38.47677125119251,80
C01123,92,A00977,partial,C01123,24.35805,50,342210.0,0.24599256,0.532608695652174,0.31628919538529804,0.5,38.43918078212913,81
C01119,87,A00973,true,C01119,24.605625,51,82696.0,0.85295904,0.5434782608695652,0.0763894024552581,0.0,38.36807197963182,82
C01102,66,A00956,partial,C01102,24.451681,42,99075.0,0.47554383,0.44565217391304346,0.09153046886555244,0.5,37.96762030247689,83
C01076,26,A00930,true,C01076,24.492334,56,360267.0,0.57521087,0.5978260869565217,0.3329814376571513,0.0,37.53738465399748,84
C01246,255,A01105,false,C01246,24.366285,4,165813.0,0.2661841,0.03260869565217391,0.15322437509244194,1.0,37.468306633440775,85
C01330,La Traverse Bièvre Montsouris,A01201,false,C01330,24.336317,30,2329.0,0.19271272,0.31521739130434784,0.0020965833456589263,1.0,37.138144359510804,86
C01186,164,A01043,false,C01186,24.285652,29,169628.0,0.068500645,0.30434782608695654,0.15675103534980034,1.0,37.0607519182567,87
C01310,372,A01169,partial,C01310,24.499561,28,14274.0,0.59292877,0.29347826086956524,0.013138773850022186,0.5,36.48589787779362,88
C01159,131,A01014,false,C01159,24.35236,4,148167.0,0.23204365,0.03260869565217391,0.1369120692205295,1.0,36.036285553377276,89
C01151,122,A01006,false,C01151,24.281832,18,236226.0,0.059134353,0.18478260869565216,0.21831552285164915,1.0,35.92757098278314,90
C01111,76,A00965,true,C01111,24.604418,33,139654.0,0.84999907,0.34782608695652173,0.12904248631859191,0.0,35.68255659816793,91
C01191,170,A01049,false,C01191,24.293255,2,335210.0,0.0871397,0.010869565217391304,0.30981825913326433,1.0,35.57703895718657,92
C01154,125,A01009,partial,C01154,24.398453,40,176157.0,0.34504706,0.42391304347826086,0.16278657003401864,0.5,35.399337118687626,93
C01223,208,A01081,partial,C01223,24.4579,23,146611.0,0.490788,0.2391304347826087,0.13547367253364886,0.5,35.39309118930651,94
C01184,162,A01041,false,C01184,24.357708,5,91796.0,0.24515553,0.043478260869565216,0.08480161958290194,1.0,35.344271999631246,95
C01153,124,A01008,false,C01153,24.281832,19,193953.0,0.059134353,0.1956521739130435,0.17923753882561752,1.0,35.168012686480175,96
C01164,138,A01019,false,C01164,24.323605,20,49157.0,0.1615463,0.20652173913043478,0.04538529803283538,1.0,35.111456452594425,97
