arrid,arrname,arrgeopoint,zdaid,lat_left,lon_left,geometry,lon_right,lat_right,temperature
28738,Bercy,"48.82757357494472, 2.393030426742303",45239,48.82757357494472,2.393030426742303,POINT (2.393030426742303 48.82757357494472),2.3775,48.828,24.588678
40423,Stade Alain Mimoun,"48.752917064803654, 2.3989039481401617",58103,48.752917064803654,2.3989039481401617,POINT (2.3989039481401617 48.752917064803654),2.4147,48.761,24.359207
23639,Chemin Vert,"48.86056857324236, 2.3785386684526424",42601,48.86056857324236,2.3785386684526424,POINT (2.3785386684526424 48.86056857324236),2.3765,48.85,24.665602
22066,Hôtel de Ville,"48.777437848061794, 2.455736548485875",45717,48.777437848061794,2.455736548485875,POINT (2.455736548485875 48.777437848061794),2.4477,48.784,24.474466
8239,John Kennedy,"48.77771386426055, 2.4630686893337566",50917,48.77771386426055,2.4630686893337566,POINT (2.4630686893337566 48.77771386426055),2.4477,48.784,24.474466
40001,Montempoivre,"48.83993728535028, 2.4086776936457928",462876,48.83993728535028,2.4086776936457928,POINT (2.4086776936457928 48.83993728535028),2.4106,48.851,24.405943
39471,Baron Le Roy (rue),"48.834151995592265, 2.3885262258060695",45241,48.834151995592265,2.3885262258060695,POINT (2.3885262258060695 48.834151995592265),2.3775,48.828,24.588678
39469,Dijon - Lachambeaudie / Cour Saint-Émilion,"48.8355691998141, 2.3860300756488333",42848,48.8355691998141,2.3860300756488333,POINT (2.3860300756488333 48.8355691998141),2.3775,48.828,24.588678
39556,Hôtel de Ville,"48.777662626737495, 2.455720595656876",45717,48.777662626737495,2.455720595656876,POINT (2.455720595656876 48.777662626737495),2.4477,48.784,24.474466
39629,Hôpital Chenevier,"48.788544952363196, 2.4615824768910177",50915,48.788544952363196,2.4615824768910177,POINT (2.4615824768910177 48.788544952363196),2.4477,48.784,24.474466
39628,Bretagne,"48.791320578847866, 2.460805165923066",46283,48.791320578847866,2.460805165923066,POINT (2.460805165923066 48.791320578847866),2.4477,48.784,24.474466
27764,Rue du Monument,"48.812492907341955, 2.5156150351001023",44765,48.812492907341955,2.5156150351001023,POINT (2.5156150351001023 48.812492907341955),2.5149,48.808,24.450323
27765,La Cascade,"48.80852723605218, 2.524720483915677",51651,48.80852723605218,2.524720483915677,POINT (2.524720483915677 48.80852723605218),2.5149,48.808,24.450323
27758,Rue du Monument,"48.812108617261444, 2.5162177736859874",44765,48.812108617261444,2.5162177736859874,POINT (2.5162177736859874 48.812108617261444),2.5149,48.808,24.450323
420285,La Source,"48.7708080726788, 2.461438885753027",58271,48.7708080726788,2.461438885753027,POINT (2.461438885753027 48.7708080726788),2.4488,48.762,24.333145
25305,Mairie du 12ème,"48.841647074352764, 2.387430016111116",45218,48.841647074352764,2.387430016111116,POINT (2.387430016111116 48.841647074352764),2.3765,48.85,24.665602
25525,Porte Dorée,"48.83567876804947, 2.4059467546665014",473711,48.83567876804947,2.4059467546665014,POINT (2.4059467546665014 48.83567876804947),2.4116,48.828,24.454836
25714,Mairie de Saint-Mandé,"48.84375583735408, 2.4170824086599767",54144,48.84375583735408,2.4170824086599767,POINT (2.4170824086599767 48.84375583735408),2.4106,48.851,24.405943
25904,8 mai 1945,"48.80974712488245, 2.4331765181845246",45710,48.80974712488245,2.4331765181845246,POINT (2.4331765181845246 48.80974712488245),2.4467,48.806,24.510483
25894,Dugommier,"48.83902702229625, 2.3886189054196687",463895,48.83902702229625,2.3886189054196687,POINT (2.3886189054196687 48.83902702229625),2.3765,48.85,24.665602
25894,Dugommier,"48.83902702229625, 2.3886189054196687",463895,48.83902702229625,2.3886189054196687,POINT (2.3886189054196687 48.83902702229625),2.3775,48.828,24.588678
9280,Musée de la Résistance,"48.80694198988332, 2.526396096767657",44188,48.80694198988332,2.526396096767657,POINT (2.526396096767657 48.80694198988332),2.5149,48.808,24.450323
21803,Pointe du Lac,"48.768615084349, 2.4637881724655197",473648,48.768615084349,2.4637881724655197,POINT (2.4637881724655197 48.768615084349),2.4488,48.762,24.333145
16904,Terroirs de France,"48.831846897844514, 2.387994729983461",58729,48.831846897844514,2.387994729983461,POINT (2.387994729983461 48.831846897844514),2.3775,48.828,24.588678
28834,Gabriel Péri,"48.81006822005155, 2.4364138844261944",45711,48.81006822005155,2.4364138844261944,POINT (2.4364138844261944 48.81006822005155),2.4467,48.806,24.510483
24339,Les Agnettes,"48.92356203732717, 2.2873757468394946",470556,48.92356203732717,2.2873757468394946,POINT (2.2873757468394946 48.92356203732717),2.2709,48.915,24.257711
488330,Mairie du 18e - Jules Joffrin,"48.89272704656043, 2.344494376875765",43489,48.89272704656043,2.344494376875765,POINT (2.344494376875765 48.89272704656043),2.3403,48.894,24.366285
36528,Jaurès,"48.920876021839035, 2.278842686646409",50494,48.920876021839035,2.278842686646409,POINT (2.278842686646409 48.920876021839035),2.2709,48.915,24.257711
491915,La Condamine - Mairie du 17e,"48.88495883077909, 2.320646008589068",45520,48.88495883077909,2.320646008589068,POINT (2.320646008589068 48.88495883077909),2.3061,48.894,24.409426
24479,Fournier,"48.90364450132628, 2.298411737529781",51283,48.90364450132628,2.298411737529781,POINT (2.298411737529781 48.90364450132628),2.3061,48.894,24.409426
36495,Villeneuve,"48.905787600443695, 2.3128436464541995",50478,48.905787600443695,2.3128436464541995,POINT (2.3128436464541995 48.905787600443695),2.305,48.916,24.277391
36499,Les Agnettes,"48.92341014207766, 2.287541590022094",470556,48.92341014207766,2.287541590022094,POINT (2.287541590022094 48.92341014207766),2.2709,48.915,24.257711
24628,Collange,"48.89917790547793, 2.2882551643693234",50659,48.89917790547793,2.2882551643693234,POINT (2.2882551643693234 48.89917790547793),2.272,48.893,24.27547
24601,Anatole France - Paul Vaillant-Couturier,"48.895528164936316, 2.282480949821867",58397,48.895528164936316,2.282480949821867,POINT (2.282480949821867 48.895528164936316),2.272,48.893,24.27547
36534,Général Leclerc - Villeneuve - Hôpital Beaujon,"48.90476000932855, 2.310865482642372",50733,48.90476000932855,2.310865482642372,POINT (2.310865482642372 48.90476000932855),2.3061,48.894,24.409426
24873,Louvre - Etienne Marcel,"48.8647478064033, 2.3426790403790942",43831,48.8647478064033,2.3426790403790942,POINT (2.3426790403790942 48.8647478064033),2.3413,48.872,24.605782
24877,Paul Bert,"48.90359186030466, 2.339773971919091",51540,48.90359186030466,2.339773971919091,POINT (2.339773971919091 48.90359186030466),2.3403,48.894,24.366285
34173,Rome - Batignolles,"48.881748838497245, 2.320756063299136",473733,48.881748838497245,2.320756063299136,POINT (2.320756063299136 48.881748838497245),2.3072,48.871,24.38513
12944,Saint-Ouen RER,"48.90471673262788, 2.3206064175548993",473544,48.90471673262788,2.3206064175548993,POINT (2.3206064175548993 48.90471673262788),2.3061,48.894,24.409426
22808,Barbès - Rochechouart,"48.8843086914419, 2.349318600223562",463328,48.8843086914419,2.349318600223562,POINT (2.349318600223562 48.8843086914419),2.3403,48.894,24.366285
413284,République,"48.91990420385353, 2.2984381450790603",44612,48.91990420385353,2.2984381450790603,POINT (2.2984381450790603 48.91990420385353),2.305,48.916,24.277391
413279,Berges de Seine,"48.91131396309855, 2.3089504467795106",46442,48.91131396309855,2.3089504467795106,POINT (2.3089504467795106 48.91131396309855),2.305,48.916,24.277391
30007,Boulay,"48.89362360712605, 2.315077326850584",45484,48.89362360712605,2.315077326850584,POINT (2.315077326850584 48.89362360712605),2.3061,48.894,24.409426
8338,Hôpital Beaujon,"48.90825725775256, 2.3075585255025106",51121,48.90825725775256,2.3075585255025106,POINT (2.3075585255025106 48.90825725775256),2.305,48.916,24.277391
8388,Gare de Bois-Colombes,"48.9129061770204, 2.2725676499338854",473119,48.9129061770204,2.2725676499338854,POINT (2.2725676499338854 48.9129061770204),2.2709,48.915,24.257711
8416,La Fourche,"48.88782618254102, 2.325149895689086",470550,48.88782618254102,2.325149895689086,POINT (2.325149895689086 48.88782618254102),2.3403,48.894,24.366285
427588,Parc Martin Luther King,"48.88893493208098, 2.3160936499654574",45492,48.88893493208098,2.3160936499654574,POINT (2.3160936499654574 48.88893493208098),2.3061,48.894,24.409426
29455,Ganneron,"48.885316842139325, 2.3267097448510423",43059,48.885316842139325,2.3267097448510423,POINT (2.3267097448510423 48.885316842139325),2.3403,48.894,24.366285
27025,Angélique Compoint,"48.89834298766654, 2.3370852063122465",462822,48.89834298766654,2.3370852063122465,POINT (2.3370852063122465 48.89834298766654),2.3403,48.894,24.366285
27005,Georges Boisseau,"48.9035889542933, 2.3183839043395587",50736,48.9035889542933,2.3183839043395587,POINT (2.3183839043395587 48.9035889542933),2.3061,48.894,24.409426
27151,Rue Petit,"48.90164348279689, 2.29457825036515",51288,48.90164348279689,2.29457825036515,POINT (2.29457825036515 48.90164348279689),2.3061,48.894,24.409426
27275,Balzac,"48.90865983073522, 2.2693526611887824",50759,48.90865983073522,2.2693526611887824,POINT (2.2693526611887824 48.90865983073522),2.2709,48.915,24.257711
27418,Verdun - Rue Latérale,"48.902013610193336, 2.25906489122134",50645,48.902013610193336,2.25906489122134,POINT (2.25906489122134 48.902013610193336),2.272,48.893,24.27547
39578,Pierre Boudou,"48.916424492551535, 2.3078182705921093",46321,48.916424492551535,2.3078182705921093,POINT (2.3078182705921093 48.916424492551535),2.305,48.916,24.277391
420569,République - Colombes,"48.903405973281906, 2.2559074788774094",46446,48.903405973281906,2.2559074788774094,POINT (2.2559074788774094 48.903405973281906),2.272,48.893,24.27547
420557,Europe,"48.905570335988514, 2.2568724252642416",46447,48.905570335988514,2.2568724252642416,POINT (2.2568724252642416 48.905570335988514),2.2709,48.915,24.257711
40838,Parc Martin Luther King,"48.88948519423802, 2.316386457854338",45492,48.88948519423802,2.316386457854338,POINT (2.316386457854338 48.88948519423802),2.3061,48.894,24.409426
39993,République - François Mitterrand,"48.90378306099249, 2.313006525371904",50486,48.90378306099249,2.313006525371904,POINT (2.313006525371904 48.90378306099249),2.3061,48.894,24.409426
